Data;4385 - PIB mensal - Em US$ milhões - US$ (milhões)
02/1999;45.384
03/1999;50.079
04/1999;49.165
05/1999;49.563
06/1999;49.813
07/1999;50.400
08/1999;51.852
09/1999;51.863
10/1999;52.678
11/1999;52.188
12/1999;50.054
01/2000;49.367
02/2000;51.269
03/2000;54.284
04/2000;52.099
05/2000;54.569
06/2000;55.104
07/2000;55.853
08/2000;57.258
09/2000;55.947
10/2000;58.193
11/2000;57.145
12/2000;54.620
01/2001;44.006
02/2001;44.227
03/2001;47.483
04/2001;46.705
05/2001;48.304
06/2001;45.024
07/2001;47.259
08/2001;48.406
09/2001;47.122
10/2001;48.468
11/2001;47.790
12/2001;44.767
01/2002;38.931
02/2002;38.954
03/2002;41.824
04/2002;42.076
05/2002;42.426
06/2002;41.359
07/2002;43.213
08/2002;44.146
09/2002;43.665
10/2002;45.256
11/2002;44.313
12/2002;41.939
01/2003;36.233
02/2003;36.263
03/2003;40.302
04/2003;44.825
05/2003;46.994
06/2003;47.459
07/2003;49.844
08/2003;47.746
09/2003;51.113
10/2003;55.022
11/2003;52.848
12/2003;50.816
01/2004;49.797
02/2004;48.225
03/2004;55.204
04/2004;54.683
05/2004;51.592
06/2004;51.909
07/2004;55.343
08/2004;55.908
09/2004;58.359
10/2004;61.003
11/2004;63.719
12/2004;63.597
01/2005;59.732
02/2005;61.217
03/2005;65.406
04/2005;68.474
05/2005;72.055
06/2005;73.779
07/2005;75.917
08/2005;78.461
09/2005;79.783
10/2005;84.899
11/2005;88.279
12/2005;84.031
01/2006;79.578
02/2006;81.623
03/2006;90.690
04/2006;88.452
05/2006;91.180
06/2006;86.562
07/2006;92.961
08/2006;96.874
09/2006;94.804
10/2006;101.964
11/2006;102.373
12/2006;100.070
01/2007;96.484
02/2007;95.918
03/2007;106.527
04/2007;107.311
05/2007;114.272
06/2007;115.393
07/2007;121.838
08/2007;118.077
09/2007;118.496
10/2007;135.121
11/2007;135.997
12/2007;131.363
01/2008;129.544
02/2008;132.414
03/2008;142.640
04/2008;147.551
05/2008;151.453
06/2008;158.166
07/2008;167.383
08/2008;163.441
09/2008;148.641
10/2008;128.520
11/2008;117.632
12/2008;105.763
01/2009;103.864
02/2009;102.646
03/2009;113.744
04/2009;116.932
05/2009;127.738
06/2009;135.895
07/2009;142.855
08/2009;150.354
09/2009;156.089
10/2009;175.127
11/2009;176.003
12/2009;171.378
01/2010;158.339
02/2010;152.791
03/2010;177.533
04/2010;176.816
05/2010;173.905
06/2010;175.093
07/2010;185.898
08/2010;189.077
09/2010;196.166
10/2010;208.810
11/2010;209.545
12/2010;205.779
01/2011;195.733
02/2011;199.277
03/2011;214.893
04/2011;223.396
05/2011;228.025
06/2011;228.974
07/2011;234.556
08/2011;234.390
09/2011;211.180
10/2011;216.152
11/2011;218.338
12/2011;209.568
01/2012;203.259
02/2012;213.659
03/2012;221.353
04/2012;207.864
05/2012;202.170
06/2012;192.765
07/2012;201.399
08/2012;206.088
09/2012;198.273
10/2012;212.176
11/2012;205.901
12/2012;198.643
01/2013;200.761
02/2013;201.121
03/2013;218.463
04/2013;222.236
05/2013;216.122
06/2013;199.369
07/2013;200.287
08/2013;193.137
09/2013;196.654
10/2013;216.832
11/2013;204.520
12/2013;198.953
01/2014;190.158
02/2014;191.059
03/2014;205.168
04/2014;214.874
05/2014;216.674
06/2014;206.239
07/2014;218.585
08/2014;212.815
09/2014;209.908
10/2014;206.840
11/2014;194.306
12/2014;188.220
01/2015;178.141
02/2015;163.701
03/2015;161.845
04/2015;160.891
05/2015;158.209
06/2015;155.001
07/2015;154.702
08/2015;140.280
09/2015;125.791
10/2015;132.134
11/2015;133.913
12/2015;131.559
01/2016;117.439
02/2016;122.041
03/2016;141.070
04/2016;144.761
05/2016;144.787
06/2016;151.398
07/2016;158.569
08/2016;164.564
09/2016;160.447
10/2016;168.918
11/2016;163.065
12/2016;163.076
01/2017;160.774
02/2017;164.630
03/2017;179.340
04/2017;171.648
05/2017;171.794
06/2017;164.652
07/2017;171.212
08/2017;176.507
09/2017;173.603
10/2017;178.069
11/2017;175.819
12/2017;175.136
01/2018;171.568
02/2018;165.888
03/2018;178.771
04/2018;171.496
05/2018;153.729
06/2018;153.907
07/2018;153.756
08/2018;151.586
09/2018;139.370
10/2018;162.136
11/2018;159.897
12/2018;154.109
01/2019;154.452
02/2019;154.791
03/2019;156.581
04/2019;157.576
05/2019;154.050
06/2019;154.980
07/2019;167.405
08/2019;156.651
09/2019;150.110
10/2019;158.725
11/2019;153.169
12/2019;154.311
01/2020;147.143
02/2020;141.456
03/2020;129.168
04/2020;105.727
05/2020;101.403
06/2020;115.721
07/2020;120.777
08/2020;115.605
09/2020;118.925
10/2020;118.699
11/2020;124.587
12/2020;136.318
01/2021;126.096
02/2021;130.130
03/2021;136.130
04/2021;132.566
05/2021;138.207
06/2021;145.747
07/2021;148.655
08/2021;146.269
09/2021;144.456
10/2021;139.675
11/2021;141.933
12/2021;140.630
01/2022;130.908
02/2022;144.817
03/2022;169.183
04/2022;174.631
05/2022;169.583
06/2022;166.642
07/2022;161.608
08/2022;169.443
09/2022;163.396
10/2022;167.321
11/2022;166.567
12/2022;167.474
01/2023;155.651
02/2023;160.167
03/2023;180.037
04/2023;181.265
05/2023;182.915
06/2023;185.993
07/2023;191.505
08/2023;190.076
09/2023;185.331
10/2023;188.247
11/2023;196.162
12/2023;193.642
01/2024;180.589
02/2024;181.051
03/2024;193.641
04/2024;192.772
05/2024;187.116
06/2024;179.862
07/2024;181.805
08/2024;178.754
09/2024;178.102
10/2024;183.150
11/2024;180.433
Fonte;BCB-Depec
